image,endpoint_count,branch_point_count,connected_components,graph_nodes,graph_edges,skeleton_length_pixels,branch_density,endpoint_density,average_width_pixels,maximum_width_pixels,crack_coverage_percent,crack_area_pixels,dominant_orientation_degrees
20160222_115324_1281_1,4,0,2,289,287,322.62,0.0,0.012398,4.58,12.0,0.987,2274,97.79
20160222_115324_1281_361,6,5,2,530,538,634.51,0.00788,0.009456,5.33,17.18,1.9119,4405,135.74
20160222_115324_1281_721,8,6,2,323,332,380.05,0.015787,0.02105,15.99,64.33,2.0907,4817,105.72
20160222_115324_1_1,8,3,3,696,697,793.51,0.003781,0.010082,4.53,14.39,2.0885,4812,34.67
20160222_115324_641_1081,6,4,1,415,420,465.15,0.008599,0.012899,18.31,46.74,5.4579,12575,87.3
20160222_115324_641_361,3,3,1,576,579,693.74,0.004324,0.004324,6.85,21.58,2.9596,6819,42.78
20160222_115324_641_721,4,5,2,443,447,531.09,0.009415,0.007532,7.17,30.8,2.0052,4620,64.21
20160222_115519_641_1,4,2,1,366,367,403.87,0.004952,0.009904,7.24,28.36,1.7986,4144,83.26
20160222_115519_641_1081,5,3,1,382,386,425.35,0.007053,0.011755,9.43,34.38,2.5764,5936,93.75
20160222_115519_641_361,3,2,1,395,397,444.63,0.004498,0.006747,7.32,25.97,1.9431,4477,86.43
20160222_115519_641_721,4,4,1,440,448,517.59,0.007728,0.007728,5.18,18.0,1.4661,3378,98.96
20160222_115620_1281_1,7,1,4,294,292,317.68,0.003148,0.022035,5.95,24.0,0.7682,1770,91.72
20160222_115620_641_1081,7,4,2,420,424,486.55,0.008221,0.014387,7.37,21.19,2.056,4737,70.17
20160222_115620_641_721,8,1,5,509,506,561.09,0.001782,0.014258,4.97,18.0,1.6024,3692,97.64
20160222_115714_1281_1081,4,2,1,439,441,510.59,0.003917,0.007834,4.92,16.8,1.526,3516,107.08
20160222_115714_1281_721,3,0,2,400,398,448.95,0.0,0.006682,3.91,10.39,1.0312,2376,80.9
20160222_115714_641_1,5,1,2,269,268,306.52,0.003262,0.016312,3.63,9.99,0.6593,1519,82.83
20160222_115714_641_361,8,4,3,460,461,537.63,0.00744,0.01488,4.25,12.0,1.3576,3128,81.63
20160222_115738_1281_1,0,0,2,176,174,195.12,0.0,0.0,4.5,12.0,0.4679,1078,88.66
20160222_115738_1281_1081,7,1,4,519,516,593.46,0.001685,0.011795,4.65,14.79,1.6562,3816,79.13
20160222_115738_1281_361,3,1,1,304,304,334.65,0.002988,0.008965,4.49,13.18,0.9076,2091,85.14
20160222_115738_1281_721,2,1,1,376,377,430.02,0.002325,0.004651,5.45,20.79,1.4023,3231,98.57
20160222_115738_641_1081,10,0,7,413,406,446.59,0.0,0.022392,3.94,11.59,0.9653,2224,98.8
20160222_115805_641_1,5,3,1,385,388,434.39,0.006906,0.01151,7.06,20.0,2.0573,4740,83.28
20160222_115805_641_1081,6,0,3,525,522,586.62,0.0,0.010228,3.71,10.0,1.2561,2894,85.07
20160222_115805_641_361,1,1,1,429,430,487.58,0.002051,0.002051,4.12,11.2,1.2153,2800,81.81
20160222_115805_641_721,4,1,2,367,367,408.84,0.002446,0.009784,5.1,12.79,1.3685,3153,95.07
20160222_115828_641_1,7,2,3,371,371,417.81,0.004787,0.016754,5.23,14.39,1.3707,3158,101.46
20160222_115828_641_1081,1,0,1,331,330,379.71,0.0,0.002634,7.62,29.16,1.691,3896,81.35
20160222_115828_641_361,3,2,1,428,430,505.8,0.003954,0.005931,5.63,16.8,1.7287,3983,67.34
20160222_115828_641_721,3,3,1,410,415,478.79,0.006266,0.006266,6.84,24.39,1.6133,3717,76.51
20160222_115833_1281_1081,4,1,2,263,263,312.29,0.003202,0.012809,6.7,23.97,1.0747,2476,33.85
20160222_115833_1281_361,6,2,3,146,146,169.61,0.011792,0.035375,7.18,22.0,0.6233,1436,24.54
20160222_115833_1281_721,9,5,3,556,559,663.8,0.007532,0.013558,5.11,21.19,1.8181,4189,45.05
20160222_115833_1921_1081,2,2,1,402,403,485.84,0.004117,0.004117,4.48,17.58,1.1211,2583,47.98
20160222_115833_641_1,12,2,6,413,410,492.43,0.004062,0.024369,4.89,15.98,1.2439,2866,70.04
20160222_115833_641_361,9,4,3,490,493,567.14,0.007053,0.015869,5.82,20.0,1.9536,4501,39.01
20160222_115843_1281_1,5,3,1,370,374,419.98,0.007143,0.011905,8.35,29.16,2.135,4919,96.66
20160222_115843_1281_361,6,1,3,360,358,411.43,0.002431,0.014583,4.77,18.0,1.0373,2390,107.27
20160222_115843_1281_721,2,2,1,225,227,254.75,0.007851,0.007851,4.86,13.18,0.7153,1648,100.61
20160222_115843_641_1081,4,0,2,349,347,386.76,0.0,0.010342,4.86,14.39,1.1454,2639,86.05
20160222_115847_1281_1,10,5,5,424,426,498.49,0.01003,0.020061,5.59,19.99,1.4826,3416,108.98
20160222_115847_1281_361,6,2,3,182,182,209.75,0.009535,0.028605,4.79,17.58,0.454,1046,108.9
20160222_115847_641_1081,5,2,2,370,371,420.29,0.004759,0.011897,4.52,14.0,1.0299,2373,98.19
20160222_115847_641_361,3,1,2,214,213,252.35,0.003963,0.011888,4.45,13.18,0.6128,1412,120.19
20160222_115847_641_721,6,3,2,399,402,466.2,0.006435,0.01287,3.84,12.0,0.9957,2294,119.0
20160222_115858_641_1,15,2,8,378,373,430.99,0.00464,0.034804,3.0,9.99,0.6719,1548,50.25
20160222_115858_641_1081,7,5,2,385,388,445.58,0.011221,0.01571,3.81,12.0,0.9735,2243,101.8
20160222_115858_641_361,14,2,6,316,312,364.61,0.005485,0.038398,3.03,8.0,0.5586,1287,56.22
20160222_115858_641_721,9,1,5,325,320,359.76,0.00278,0.025016,4.57,19.99,0.796,1834,95.24
20160222_163930_1281_361,2,1,1,556,556,601.15,0.001663,0.003327,16.35,66.0,4.2726,9844,0.77
20160222_163930_1281_721,2,2,3,612,611,658.63,0.003037,0.003037,20.64,62.36,5.0851,11716,8.69
20160222_163930_1921_1081,7,10,2,572,586,726.42,0.013766,0.009636,13.47,50.33,4.9188,11333,50.19
20160222_163930_1921_721,6,5,2,1082,1085,1257.31,0.003977,0.004772,16.53,55.14,12.7122,29289,4.45
20160222_163930_1_1,9,3,4,814,814,928.74,0.00323,0.009691,4.04,12.0,2.1159,4875,13.54
20160222_163930_1_1081,5,1,3,935,934,1045.84,0.000956,0.004781,4.14,12.0,2.5777,5939,30.91
20160222_163930_1_361,17,14,8,1654,1680,1919.42,0.007294,0.008857,5.93,30.36,5.2839,12174,11.66
20160222_163930_1_721,9,8,3,1284,1293,1439.63,0.005557,0.006252,7.4,32.76,5.0829,11711,152.77
20160222_163930_641_1,11,7,3,916,923,1058.03,0.006616,0.010397,5.42,20.0,3.3507,7720,177.58
20160222_163930_641_361,9,4,6,1288,1287,1469.67,0.002722,0.006124,5.95,22.0,4.6545,10724,5.96
20160222_163930_641_721,3,2,1,231,231,253.37,0.007894,0.011841,13.29,42.34,1.908,4396,3.52
20160222_164021_1281_1,7,5,2,537,541,618.46,0.008085,0.011318,7.57,28.0,2.3455,5404,75.11
20160222_164021_1281_361,11,10,1,578,590,683.61,0.014628,0.016091,10.08,37.56,3.2821,7562,114.94
20160222_164021_641_1081,5,3,3,376,380,420.59,0.007133,0.011888,6.44,16.8,1.6949,3905,97.64
20160222_164021_641_361,2,3,2,104,105,122.81,0.024428,0.016285,9.7,23.97,0.5352,1233,88.92
20160222_164021_641_721,8,6,1,460,466,537.66,0.011159,0.014879,9.45,34.76,3.27,7534,104.75
20160222_164822_1281_1,2,1,1,173,173,188.74,0.005298,0.010597,17.89,56.78,1.2917,2976,94.69
20160222_164822_1281_361,1,1,4,241,238,259.12,0.003859,0.003859,14.12,48.0,1.0252,2362,89.17
20160222_164822_1281_721,1,1,1,256,256,294.11,0.0034,0.0034,13.64,37.99,2.4201,5576,97.88
20160222_164822_641_1,2,1,1,377,378,416.52,0.002401,0.004802,13.88,40.0,3.2856,7570,79.71
20160222_164822_641_1081,2,0,1,375,374,431.16,0.0,0.004639,15.57,50.0,4.9705,11452,106.89
20160222_164822_641_361,1,0,2,350,348,376.58,0.0,0.002655,13.26,48.33,2.5985,5987,89.86
20160222_164822_641_721,1,1,1,208,208,240.31,0.004161,0.004161,15.94,44.0,2.3082,5318,109.59
20160222_164825_1281_1,2,2,1,471,473,559.16,0.003577,0.003577,16.29,58.8,5.5872,12873,115.21
20160222_164825_1281_361,2,1,1,451,453,535.01,0.001869,0.003738,11.82,36.76,4.4527,10259,123.94
20160222_164825_1281_721,2,1,1,165,164,190.92,0.005238,0.010475,14.85,40.0,1.9193,4422,158.21
20160222_164825_641_1081,4,4,1,495,501,574.32,0.006965,0.006965,22.63,64.0,7.3898,17026,105.18
20160222_164825_641_721,1,1,1,542,541,641.24,0.001559,0.001559,13.98,45.94,6.1558,14183,141.26
20160222_164920_641_1,5,3,2,382,396,455.23,0.00659,0.010983,3.5,10.39,0.8455,1948,88.87
20160222_164920_641_361,9,4,3,339,341,383.66,0.010426,0.023458,11.09,36.0,2.0543,4733,98.31
20160222_164920_641_721,2,0,2,100,98,114.98,0.0,0.017394,9.48,26.0,0.7747,1785,85.93
20160222_164936_641_1,5,1,2,317,317,356.35,0.002806,0.014031,5.97,22.0,1.099,2532,107.68
20160222_164936_641_1081,2,0,2,198,196,238.25,0.0,0.008395,6.54,17.19,1.033,2380,59.27
20160222_164936_641_361,3,1,1,373,374,444.83,0.002248,0.006744,8.28,21.58,2.622,6041,100.64
20160222_164936_641_721,1,0,1,359,358,399.84,0.0,0.002501,8.73,24.0,2.286,5267,75.0
20160222_165012_1281_1,3,0,2,210,208,242.38,0.0,0.012377,4.95,12.0,0.7756,1787,94.05
20160222_165012_641_1,2,1,1,174,175,208.55,0.004795,0.00959,5.25,12.79,0.6684,1540,118.37
20160222_165012_641_361,4,0,2,252,250,281.07,0.0,0.014232,5.87,15.18,1.0955,2524,95.42
20160222_165012_641_721,2,1,1,291,290,331.01,0.003021,0.006042,4.12,12.0,0.8377,1930,99.02
20160222_165031_641_1,9,7,1,440,448,525.04,0.013332,0.017141,5.82,19.6,1.7244,3973,79.41
20160222_165031_641_1081,6,4,1,395,399,453.68,0.008817,0.013225,17.78,57.18,5.5451,12776,77.53
20160222_165031_641_361,7,6,1,408,417,478.72,0.012533,0.014622,8.88,29.59,2.4136,5561,94.78
20160222_165031_641_721,2,2,1,446,447,519.49,0.00385,0.00385,12.84,42.39,4.1345,9526,97.43
20160222_165037_1281_721,5,4,1,695,701,782.6,0.005111,0.006389,9.78,38.38,4.464,10285,8.02
20160222_165037_1921_361,4,1,2,403,403,449.39,0.002225,0.008901,5.65,16.39,1.5347,3536,174.3
20160222_165037_1921_721,2,1,1,242,241,278.28,0.003594,0.007187,5.74,16.8,0.9622,2217,155.76
20160222_165037_1_361,4,5,1,737,744,816.9,0.006121,0.004897,17.45,81.89,6.895,15886,179.52
20160222_165037_1_721,1,1,3,305,302,327.27,0.003056,0.003056,18.61,61.51,2.0143,4641,177.57
20160222_165037_641_361,8,11,2,729,738,860.19,0.012788,0.0093,10.72,36.36,5.1089,11771,173.65
20160222_165037_641_721,5,3,2,285,286,334.46,0.00897,0.014949,7.96,28.0,1.4349,3306,2.97
20160222_165218_1281_721,8,3,4,872,872,1007.86,0.002977,0.007938,9.21,31.96,5.6233,12956,9.63
20160222_165218_1921_1081,2,0,2,163,161,203.66,0.0,0.00982,9.25,23.99,1.217,2804,38.73
20160222_165218_1921_721,9,7,3,1192,1207,1414.94,0.004947,0.006361,7.68,31.96,6.2964,14507,9.15
20160222_165218_1_361,4,2,1,529,530,587.58,0.003404,0.006808,4.47,15.98,1.5161,3493,168.41
20160222_165218_641_1,4,0,2,348,346,385.35,0.0,0.01038,4.07,10.79,0.9748,2246,78.15
20160222_165218_641_361,6,2,3,373,373,419.39,0.004769,0.014306,5.66,15.98,1.4857,3423,92.76
20160222_165218_641_721,1,1,1,723,725,844.71,0.001184,0.001184,6.39,20.0,3.2582,7507,155.55
20160222_165256_1281_1,2,0,3,189,186,208.37,0.0,0.009598,6.08,18.78,0.6359,1465,91.66
20160222_165256_1281_361,6,1,3,347,345,391.81,0.002552,0.015314,5.89,16.8,1.5234,3510,78.66
20160222_165256_1281_721,7,6,1,653,665,787.19,0.007622,0.008892,6.35,18.0,3.1328,7218,28.02
20160222_165256_1921_1081,3,0,2,356,354,406.19,0.0,0.007386,6.7,23.18,1.8464,4254,2.09
20160222_165256_641_1,2,0,4,234,230,262.72,0.0,0.007613,5.87,15.18,0.8681,2000,89.58
20160222_165256_641_721,5,1,2,578,577,683.45,0.001463,0.007316,6.42,19.18,2.855,6578,155.33
20160222_165625_1281_361,10,3,6,538,537,589.61,0.005088,0.016961,3.75,13.18,1.2062,2779,176.32
20160222_165625_1921_361,4,2,4,799,797,874.87,0.002286,0.004572,4.42,16.0,2.1814,5026,173.49
20160222_165625_1921_721,2,2,1,258,261,290.82,0.006877,0.006877,6.94,22.0,1.1254,2593,178.09
20160222_165625_1_721,6,4,2,614,618,677.65,0.005903,0.008854,4.31,13.18,1.7057,3930,7.08
20160222_165625_641_361,5,0,4,310,306,337.89,0.0,0.014798,3.7,11.2,0.635,1463,179.07
20160222_165625_641_721,5,3,3,443,443,486.49,0.006167,0.010278,5.24,17.19,1.2834,2957,173.82
20160222_165715_1281_361,14,8,5,612,618,696.7,0.011483,0.020095,4.72,19.58,1.6328,3762,177.61
20160222_165715_1921_361,10,5,4,541,543,634.54,0.00788,0.015759,3.87,15.59,1.2865,2964,166.33
20160222_165715_1921_721,4,2,3,217,217,245.99,0.00813,0.01626,3.84,14.0,0.4878,1124,9.45
20160222_165715_1_721,14,8,5,680,687,780.2,0.010254,0.017944,8.43,30.76,2.7899,6428,173.94
20160222_165715_641_721,6,4,1,689,693,805.25,0.004967,0.007451,7.38,30.8,2.6836,6183,0.88
20160222_165909_1281_1081,3,1,1,368,371,439.35,0.002276,0.006828,6.1,19.99,1.5686,3614,62.36
20160222_165909_1281_361,3,2,1,648,650,714.62,0.002799,0.004198,4.31,12.0,1.9527,4499,8.04
20160222_165909_1281_721,1,1,1,181,181,219.94,0.004547,0.004547,5.43,16.0,0.7422,1710,50.97
20160222_165909_1921_361,9,4,3,729,733,799.69,0.005002,0.011254,3.92,10.79,1.8442,4249,176.85
20160222_165909_1_1,1,0,1,437,436,540.38,0.0,0.001851,6.48,20.38,2.365,5449,50.52
20160222_165909_1_361,1,1,1,139,139,166.34,0.006012,0.006012,5.66,16.0,0.5456,1257,34.41
20160222_165909_641_361,6,6,1,977,986,1176.95,0.005098,0.005098,5.27,16.8,3.8316,8828,177.56
20160222_165909_641_721,4,1,2,323,323,395.49,0.002529,0.010114,4.92,14.0,1.2804,2950,34.8
20160222_165919_1281_1,5,5,1,596,602,689.81,0.007248,0.007248,8.47,34.36,2.9753,6855,81.91
20160222_165919_1281_361,3,2,2,557,557,634.04,0.003154,0.004732,7.19,22.0,2.6254,6049,55.33
20160222_165919_1281_721,2,0,2,354,352,402.95,0.0,0.004963,4.64,17.18,1.1328,2610,18.67
20160222_165919_1921_721,3,0,2,291,289,318.41,0.0,0.009422,3.84,10.0,0.6923,1595,21.34
20160222_165919_1_361,4,2,2,526,527,573.81,0.003485,0.006971,4.99,18.79,1.5473,3565,176.03
20160222_165919_1_721,4,0,5,313,308,347.35,0.0,0.011516,4.22,14.39,0.7791,1795,26.25
20160222_165919_641_361,12,8,3,875,881,1013.13,0.007896,0.011844,5.08,17.18,2.9262,6742,172.91
20160222_165919_641_721,6,2,3,535,535,624.47,0.003203,0.009608,4.74,21.19,1.4757,3400,157.14
20160222_165937_1281_361,4,0,2,629,627,687.06,0.0,0.005822,4.16,13.18,1.6003,3687,0.6
20160222_165937_1281_721,2,3,1,768,774,869.27,0.003451,0.002301,9.59,31.96,5.1467,11858,4.37
20160222_165937_1921_721,5,4,1,722,725,813.23,0.004919,0.006148,8.03,30.37,4.3563,10037,166.64
20160222_165937_1_1081,8,6,1,782,793,914.78,0.006559,0.008745,19.29,62.0,7.1784,16539,172.38
20160222_165937_1_361,4,1,2,628,628,696.35,0.001436,0.005744,4.91,12.39,2.1428,4937,5.84
20160222_165937_1_721,1,2,2,350,351,387.45,0.005162,0.002581,10.1,30.36,1.951,4495,164.29
20160222_165937_641_361,9,2,3,907,906,986.77,0.002027,0.009121,4.22,19.18,2.1684,4996,3.12
20160222_165937_641_721,2,1,1,675,675,754.11,0.001326,0.002652,7.15,23.99,3.513,8094,167.46
20160222_165947_1281_721,4,0,2,621,619,684.86,0.0,0.005841,8.41,28.78,3.7674,8680,177.21
20160222_165947_1921_721,3,1,1,577,578,626.46,0.001596,0.004789,8.33,34.0,2.9418,6778,3.82
20160222_165947_1_721,5,1,2,514,512,556.74,0.001796,0.008981,7.7,23.18,2.8394,6542,176.83
20160222_165947_641_1,5,3,1,376,380,428.05,0.007009,0.011681,4.47,12.79,1.1285,2600,87.5
20160222_165947_641_361,8,2,3,289,288,329.01,0.006079,0.024316,6.03,20.38,1.0903,2512,108.77
20160222_165947_641_721,5,5,2,728,732,799.52,0.006254,0.006254,10.7,37.15,4.9492,11403,2.39
20160225_114503_1281_1,13,5,4,338,341,389.88,0.012825,0.033344,5.04,20.0,1.0091,2325,11.15
20160225_114503_1281_361,11,9,2,903,911,1037.34,0.008676,0.010604,18.09,60.0,11.1194,25619,163.77
20160225_114503_1281_721,6,2,3,410,408,484.22,0.00413,0.012391,11.04,41.54,2.7565,6351,138.21
20160225_114503_1921_1,4,2,1,535,536,631.68,0.003166,0.006332,17.94,52.33,7.3168,16858,142.36
20160225_114503_1921_361,4,4,1,458,460,526.27,0.007601,0.007601,23.52,68.0,7.194,16575,151.77
20160225_114503_1_1081,3,0,2,213,211,249.94,0.0,0.012003,4.72,14.0,0.7352,1694,128.62
20160225_114503_1_361,24,16,7,814,842,963.36,0.016608,0.024913,4.42,21.19,1.9813,4565,163.83
20160225_114503_1_721,12,11,2,791,799,907.52,0.012121,0.013223,11.1,41.15,4.398,10133,168.02
20160225_114503_641_1,2,0,1,280,279,313.79,0.0,0.006374,7.59,22.0,1.6545,3812,171.65
20160225_114503_641_1081,8,6,3,917,919,1066.46,0.005626,0.007501,7.85,36.0,4.3043,9917,164.9
20160225_114503_641_361,20,17,3,1110,1132,1320.47,0.012874,0.015146,13.89,49.54,7.1011,16361,31.26
20160225_114503_641_721,7,4,3,699,702,813.84,0.004915,0.008601,8.48,34.76,3.6541,8419,11.36
20160302_155848_1281_361,1,1,1,423,422,483.3,0.002069,0.002069,26.52,65.97,8.2652,19043,159.12
20160302_155848_1281_721,0,0,1,368,367,412.56,0.0,0.0,20.21,49.54,5.4822,12631,162.63
20160302_155848_1921_1,4,0,2,307,305,374.59,0.0,0.010678,10.77,33.6,2.7943,6438,129.18
20160302_155848_1921_361,5,4,1,737,741,848.28,0.004715,0.005894,29.3,91.93,15.9314,36706,161.22
20160302_155848_1_721,2,0,1,654,653,726.73,0.0,0.002752,18.77,65.91,10.1406,23364,13.58
20160302_155848_641_721,2,1,1,699,699,774.39,0.001291,0.002583,15.67,44.76,8.783,20236,169.2
20160302_155914_1081_641,4,1,2,217,216,255.35,0.003916,0.015665,3.45,8.4,0.5061,1166,68.21
20160302_155914_361_1281,3,2,1,682,684,766.01,0.002611,0.003916,18.09,60.0,8.9818,20694,94.01
20160302_155914_361_1921,2,1,1,655,655,714.65,0.001399,0.002799,16.27,52.0,8.3863,19322,93.17
20160302_155914_361_641,2,0,2,213,211,241.65,0.0,0.008276,8.63,23.99,1.1693,2694,51.78
20160302_155914_721_641,4,2,2,533,535,643.94,0.003106,0.006212,17.15,68.79,5.1649,11900,131.6
20160303_091825_1281_361,8,9,1,797,809,915.04,0.009836,0.008743,11.96,39.54,6.9609,16038,17.07
20160303_091825_1921_361,3,0,2,121,119,128.11,0.0,0.023417,18.49,57.18,1.0564,2434,3.1
20160303_091825_1921_721,7,4,2,601,600,667.52,0.005992,0.010487,14.66,49.58,6.6016,15210,5.67
20160303_091825_1_1,2,0,1,140,139,151.01,0.0,0.013244,11.4,38.0,0.9314,2146,10.68
20160303_091825_641_1,10,11,4,713,727,858.31,0.012816,0.011651,9.65,33.17,4.8294,11127,39.71
20160303_091825_641_1081,8,4,3,361,366,426.48,0.009379,0.018758,6.65,20.0,1.6228,3739,70.56
