image,endpoint_count,branch_point_count,connected_components,graph_nodes,graph_edges,skeleton_length_pixels,branch_density,endpoint_density,average_width_pixels,maximum_width_pixels,crack_coverage_percent,crack_area_pixels,dominant_orientation_degrees,normalized_coverage,normalized_skeleton_length,normalized_max_width,normalized_branch_density,CSI,severity
20160222_081102_1921_361,8,3,3,530,529,596.52,0.005029,0.013411,7.05,28.0,2.3668,5453,27.32,0.10040924829035781,0.3330598756952517,0.13333333333333333,0.3006022205950477,21.69,Low
20160222_081102_1921_721,3,2,1,667,668,721.43,0.002772,0.004158,7.16,18.78,3.4939,8050,3.17,0.171073935852564,0.42905311290214126,0.030888888888888903,0.16569285255308655,19.92,Low
20160222_081102_1_721,4,2,1,196,198,225.34,0.008876,0.017751,7.02,21.18,0.921,2122,176.76,0.009763338187050457,0.047808336295257416,0.057555555555555554,0.5305518612053377,16.14,Low
20160222_081102_641_361,5,0,3,236,233,266.14,0.0,0.018787,4.33,12.0,0.7092,1634,173.39,0.0,0.07916310435258746,0.0,0.0,1.98,Low
20160222_081102_641_721,2,2,1,705,707,817.6,0.002446,0.002446,6.28,18.78,3.3698,7764,5.54,0.16329335939398024,0.5029596826098235,0.030888888888888903,0.1462066079887625,21.08,Low
20160222_081111_1281_361,5,3,1,481,482,540.82,0.005547,0.009245,7.86,42.0,2.4692,5689,13.92,0.10682932104909254,0.2902544693032595,0.28888888888888886,0.33156502637516994,25.44,Low
20160222_081111_1281_721,3,1,1,237,236,265.82,0.003762,0.011286,6.68,22.0,1.1081,2553,12.35,0.021493764096808938,0.0789171846031182,0.06666666666666667,0.22486887132204605,9.8,Low
20160222_081111_1921_721,3,1,1,666,665,763.58,0.00131,0.003929,5.96,18.0,2.951,6799,2.13,0.13703626494712373,0.46144535490254485,0.022222222222222223,0.07830362079528982,17.48,Low
20160222_081111_1_1,3,1,1,223,222,242.3,0.004127,0.012382,4.72,13.18,0.7114,1639,85.76,0.0,0.06084208301712795,0.0,0.24668629238332906,7.69,Low
20160222_081111_1_361,6,3,2,866,867,1006.18,0.002982,0.005963,4.12,14.0,2.4444,5632,10.35,0.10527445967783647,0.6478832649689239,0.0,0.17824534138286582,23.29,Low
20160222_081111_641_361,3,3,1,687,689,768.53,0.003904,0.003904,4.9,14.0,2.4036,5538,178.3,0.10271646193802811,0.4652494260271473,0.0,0.2333567447212301,20.03,Low
20160222_081113_1281_361,2,1,2,251,250,260.36,0.003841,0.007682,6.3,17.58,0.5603,1291,179.07,0.0,0.07472117887779904,0.017555555555555536,0.22959099807229633,8.05,Low
20160222_081113_1281_721,6,5,2,669,674,742.35,0.006735,0.008082,7.66,26.36,3.076,7087,6.39,0.14487326782643858,0.4451301165236939,0.11511111111111111,0.4025762488979213,27.69,Low
20160222_081113_1921_721,3,1,1,664,665,762.34,0.001312,0.003935,8.73,34.39,4.4006,10139,21.21,0.22792041993796225,0.46049241587335143,0.20433333333333334,0.07842316830795439,24.28,Low
20160222_081113_1_1,1,0,1,182,181,190.53,0.0,0.005249,5.52,18.0,0.4709,1085,89.93,0.0,0.02105687854830499,0.022222222222222223,0.0,1.08,Low
20160222_081113_1_361,15,5,7,475,476,561.33,0.008907,0.026722,4.56,14.39,1.457,3357,7.32,0.04336840653355256,0.30601638824580457,0.0,0.5324048476516385,22.04,Low
20160222_081113_1_721,19,9,5,765,769,906.52,0.009928,0.020959,4.94,14.0,2.7461,6327,8.24,0.12418984982735083,0.5712946329935927,0.0,0.5934338528668986,32.22,Moderate
20160222_081113_641_361,7,4,5,597,596,700.38,0.005711,0.009995,5.16,20.38,2.0625,4752,17.86,0.08133084848095373,0.4128762043823669,0.04866666666666666,0.34136792241366426,22.11,Low
20160222_081113_641_721,4,2,2,346,346,399.02,0.005012,0.010025,5.57,16.0,1.3572,3127,171.8,0.037111343434707574,0.1812812803196957,0.0,0.2995860667373989,12.95,Low
20160222_081908_1281_1,4,1,2,244,243,258.33,0.003871,0.015484,4.9,10.39,0.8346,1923,99.3,0.004346401796868024,0.07316112546710343,0.0,0.23138421076226479,7.72,Low
20160222_081908_1281_1081,8,1,4,240,238,260.37,0.003841,0.030726,4.64,10.79,0.7878,1815,95.88,0.0014122279188525384,0.07472886386996995,0.0,0.22959099807229633,7.64,Low
20160222_081908_1281_361,6,0,3,164,161,179.23,0.0,0.033477,4.32,10.39,0.5022,1157,104.71,0.0,0.012372837395171902,0.0,0.0,0.31,Low
20160222_081908_1281_721,15,14,1,813,834,931.75,0.015025,0.016099,6.18,19.58,3.4145,7867,0.27,0.16609587162362321,0.5906838682408093,0.03977777777777776,0.8981006888925417,42.37,Moderate
20160222_081908_1_1,6,0,3,258,255,274.05,0.0,0.021894,3.0,7.19,0.4405,1015,90.85,0.0,0.08524193315978063,0.0,0.0,2.13,Low
20160222_081908_1_1081,6,0,3,285,282,322.18,0.0,0.018623,3.56,10.39,0.6918,1594,108.98,0.0,0.1222298004783908,0.0,0.0,3.06,Low
20160222_081908_1_361,7,1,3,270,268,283.74,0.003524,0.02467,3.23,8.0,0.5226,1204,83.93,0.0,0.09268869057339651,0.0,0.21064271731496284,7.58,Low
20160222_081908_1_721,9,1,6,311,311,340.41,0.002938,0.026439,3.42,9.99,0.6354,1464,89.65,0.0,0.13623954120596746,0.0,0.17561529610424542,7.8,Low
20160222_081908_641_361,6,3,6,223,219,241.78,0.012408,0.024816,4.7,11.59,0.5681,1309,179.69,0.0,0.0604424634242404,0.0,0.7416727685709589,20.05,Low
20160222_081908_641_721,7,6,3,1153,1157,1331.8,0.004505,0.005256,4.56,15.18,3.3407,7697,10.65,0.16146890512367573,0.8981219800382331,0.0,0.2692807722769318,33.22,Moderate
20160222_082414_1281_1081,3,4,1,605,612,729.22,0.005485,0.004114,10.52,32.79,4.9102,11313,55.31,0.25987031327635307,0.43503972180328354,0.18655555555555556,0.32785905348256844,30.23,Moderate
20160222_082414_1281_361,4,1,2,245,245,280.62,0.003564,0.014254,5.31,17.19,0.8494,1957,141.19,0.0052743029377789056,0.09029097301607127,0.013222222222222236,0.21303366756825412,8.05,Low
20160222_082414_1281_721,3,2,1,477,477,588.42,0.003399,0.005098,9.36,25.2,3.8711,8919,45.94,0.19472287574118455,0.32683503203681114,0.10222222222222221,0.20317099777342756,20.67,Low
20160222_082414_1_361,14,9,3,782,797,913.39,0.009853,0.015327,5.87,28.0,2.4453,5634,14.32,0.10533088609856754,0.5765742226150108,0.13333333333333333,0.5889508211419776,35.1,Moderate
20160222_082414_641_361,11,9,2,880,891,1006.98,0.008938,0.010924,8.19,26.36,4.9431,11389,6.28,0.26193301243418876,0.6484980643425972,0.11511111111111111,0.5342578340979393,39.0,Moderate
20160222_114806_1281_1,13,11,2,881,899,1039.83,0.010579,0.012502,4.59,16.0,2.7743,6392,72.66,0.12595787767692426,0.6737432636240502,0.0,0.6323465682392145,35.8,Moderate
20160222_114806_1281_1081,13,6,4,1122,1128,1271.73,0.004718,0.010222,4.14,14.39,2.8082,6470,9.11,0.12808327285779442,0.8519582320675512,0.0,0.2820125823757079,31.55,Moderate
20160222_114806_1281_361,9,6,3,995,1001,1111.18,0.0054,0.008099,5.07,15.98,3.3472,7712,17.85,0.1618764292734001,0.7285756827635234,0.0,0.32277828419432447,30.33,Moderate
20160222_114806_1281_721,8,6,2,891,896,1009.91,0.005941,0.007922,5.08,17.18,2.6428,6089,8.67,0.117713350647885,0.6507497670486749,0.013111111111111108,0.3551158863700892,28.42,Moderate
20160222_115219_1281_361,2,2,1,363,370,458.23,0.004365,0.004365,5.46,17.18,1.5642,3604,42.57,0.05008942020285298,0.22678411896367887,0.013111111111111108,0.2609124463904123,13.77,Low
20160222_115219_1281_721,10,3,4,469,470,554.5,0.00541,0.018034,5.26,17.18,1.799,4145,35.98,0.064810446411358,0.30076753859307015,0.013111111111111108,0.3233760217576473,17.55,Low
20160222_115219_1921_1081,2,0,1,217,216,245.41,0.0,0.00815,4.2,9.99,0.6319,1456,8.23,0.0,0.06323211558228227,0.0,0.0,1.58,Low
20160222_115219_641_1,4,2,1,468,469,547.29,0.003654,0.007309,7.02,24.79,2.6623,6134,54.73,0.11893592309705814,0.2952266592378409,0.09766666666666665,0.21841330563815956,18.26,Low
20160222_115219_641_361,3,1,2,169,169,199.24,0.005019,0.015057,6.37,16.8,0.7682,1770,26.86,0.00018338586737597182,0.027750506729171287,0.008888888888888898,0.3000044830317249,8.42,Low
20160222_115233_1281_361,3,1,1,442,442,499.99,0.002,0.006,6.7,21.58,2.2908,5278,10.46,0.09564435053973437,0.2588766462694167,0.06199999999999998,0.11954751266456462,13.4,Low
20160222_115233_1281_721,1,1,1,239,239,284.98,0.003509,0.003509,5.42,14.0,0.9635,2220,21.29,0.012427919166017506,0.09364162960258988,0.0,0.2097461109699786,7.9,Low
20160222_115233_1921_721,2,0,1,640,639,713.14,0.0,0.002804,8.44,22.0,4.4614,10279,179.69,0.23173233813846103,0.42268225439245344,0.06666666666666667,0.0,18.03,Low
20160222_115233_1_361,13,5,7,773,774,907.38,0.00551,0.014327,4.7,14.0,2.4622,5673,24.3,0.10639044888785092,0.5719555423202913,0.0,0.3293533973908755,25.19,Low
20160222_115233_1_721,4,1,3,214,212,250.11,0.003998,0.015993,4.92,14.0,0.7869,1813,173.55,0.0013558014981214775,0.06684406190261197,0.0,0.23897547781646464,7.68,Low
20160222_115233_641_361,11,5,3,716,723,808.74,0.006182,0.013601,6.92,24.39,3.2847,7568,172.52,0.15795792783374266,0.49615077954639347,0.09322222222222223,0.3695213616461692,27.92,Moderate
20160222_115324_1281_1,4,0,2,289,287,322.62,0.0,0.012398,4.58,12.0,0.987,2274,97.79,0.013901275707328697,0.12256794013391102,0.0,0.0,3.41,Low
20160222_115324_1281_361,6,5,2,530,538,634.51,0.00788,0.009456,5.33,17.18,1.9119,4405,135.74,0.07188882741195518,0.36225516095255483,0.013111111111111108,0.4710171998983846,22.96,Low
20160222_115324_1281_721,8,6,2,323,332,380.05,0.015787,0.02105,15.99,64.33,2.0907,4817,105.72,0.08309887633052716,0.16670285017147143,0.537,0.9436482912177407,43.26,Moderate
20160222_115324_1_1,8,3,3,696,697,793.51,0.003781,0.010082,4.53,14.39,2.0885,4812,34.67,0.0829609450798512,0.48444653647009106,0.0,0.2260045726923594,19.84,Low
20160222_115324_641_1081,6,4,1,415,420,465.15,0.008599,0.012899,18.31,46.74,5.4579,12575,87.3,0.2942089250923591,0.2321021335459515,0.34155555555555556,0.5139945307012956,34.55,Moderate
20160222_115324_641_361,3,3,1,576,579,693.74,0.004324,0.004324,6.85,21.58,2.9596,6819,42.78,0.1375754507452206,0.40777336958087984,0.06199999999999998,0.2584617223807887,21.65,Low
20160222_115324_641_721,4,5,2,443,447,531.09,0.009415,0.007532,7.17,30.8,2.0052,4620,64.21,0.07773836636107578,0.28277697192095996,0.16444444444444445,0.5627699158684379,27.19,Low
20160222_115519_641_1,4,2,1,366,367,403.87,0.004952,0.009904,7.24,28.36,1.7986,4144,83.26,0.0647853680021442,0.18500850152258913,0.13733333333333334,0.295999641357462,17.08,Low
20160222_115519_641_1081,5,3,1,382,386,425.35,0.007053,0.011755,9.43,34.38,2.5764,5936,93.75,0.11355033471839297,0.2015158647057129,0.20422222222222225,0.4215843034115871,23.52,Low
20160222_115519_641_361,3,2,1,395,397,444.63,0.004498,0.006747,7.32,25.97,1.9431,4477,86.43,0.07384494333063218,0.2163325296112355,0.11077777777777777,0.2688623559826058,16.75,Low
20160222_115519_641_721,4,4,1,440,448,517.59,0.007728,0.007728,5.18,18.0,1.4661,3378,98.96,0.04393894034316668,0.2724022324902257,0.022222222222222223,0.46193158893587766,20.01,Low
20160222_115620_1281_1,7,1,4,294,292,317.68,0.003148,0.022035,5.95,24.0,0.7682,1770,91.72,0.00018338586737597182,0.1187715540014794,0.08888888888888889,0.18816778493402472,9.9,Low
20160222_115620_641_1081,7,4,2,420,424,486.55,0.008221,0.014387,7.37,21.19,2.056,4737,70.17,0.08092332433122935,0.24854801679170796,0.05766666666666668,0.4914000508076928,21.96,Low
20160222_115620_641_721,8,1,5,509,506,561.09,0.001782,0.014258,4.97,18.0,1.6024,3692,97.64,0.0524844082827716,0.30583194843370265,0.022222222222222223,0.10651683378412706,12.18,Low
20160222_115714_1281_1081,4,2,1,439,441,510.59,0.003917,0.007834,4.92,16.8,1.526,3516,107.08,0.04769443212293436,0.26702273797058573,0.008888888888888898,0.23413380355354982,13.94,Low
20160222_115714_1281_721,3,0,2,400,398,448.95,0.0,0.006682,3.91,10.39,1.0312,2376,80.9,0.016672439925454426,0.21965244622907046,0.0,0.0,5.91,Low
20160222_115714_641_1,5,1,2,269,268,306.52,0.003262,0.016312,3.63,9.99,0.6593,1519,82.83,0.0,0.1101951027387391,0.0,0.1949819931559049,7.63,Low
20160222_115714_641_361,8,4,3,460,461,537.63,0.00744,0.01488,4.25,12.0,1.3576,3128,81.63,0.03713642184392138,0.2878029568007378,0.0,0.4447167471121804,19.24,Low
20160222_115738_1281_1,0,0,2,176,174,195.12,0.0,0.0,4.5,12.0,0.4679,1078,88.66,0.0,0.02458428995475462,0.0,0.0,0.61,Low
20160222_115738_1281_1081,7,1,4,519,516,593.46,0.001685,0.011795,4.65,14.79,1.6562,3816,79.13,0.05585745432202871,0.330708268090952,0.0,0.1007187794198957,12.18,Low
20160222_115738_1281_361,3,1,1,304,304,334.65,0.002988,0.008965,4.49,13.18,0.9076,2091,85.14,0.008923211478387899,0.1318129857155208,0.0,0.17860398392085955,7.98,Low
20160222_115738_1281_721,2,1,1,376,377,430.02,0.002325,0.004651,5.45,20.79,1.4023,3231,98.57,0.039938934073564386,0.2051047560495298,0.05322222222222221,0.13897398347255635,10.93,Low
20160222_115738_641_1081,10,0,7,413,406,446.59,0.0,0.022392,3.94,11.59,0.9653,2224,98.8,0.012540772007479642,0.21783878807673468,0.0,0.0,5.76,Low
20160222_115805_641_1,5,3,1,385,388,434.39,0.006906,0.01151,7.06,20.0,2.0573,4740,83.28,0.08100482916117424,0.20846309762821932,0.044444444444444446,0.41279756123074157,18.67,Low
20160222_115805_641_1081,6,0,3,525,522,586.62,0.0,0.010228,3.71,10.0,1.2561,2894,85.07,0.03077277550591772,0.3254517334460466,0.0,0.0,8.91,Low
20160222_115805_641_361,1,1,1,429,430,487.58,0.002051,0.002051,4.12,11.2,1.2153,2800,81.81,0.028214777766109356,0.2493395709853121,0.0,0.12259597423751101,10.0,Low
20160222_115805_641_721,4,1,2,367,367,408.84,0.002446,0.009784,5.1,12.79,1.3685,3153,95.07,0.03781980849499764,0.18882794263153346,0.0,0.1462066079887625,9.32,Low
20160222_115828_641_1,7,2,3,371,371,417.81,0.004787,0.016754,5.23,14.39,1.3707,3158,101.46,0.03795773974567358,0.19572138060884356,0.0,0.2861369715626354,13.0,Low
20160222_115828_641_1081,1,0,1,331,330,379.71,0.0,0.002634,7.62,29.16,1.691,3896,81.35,0.05803927592362997,0.1664415604376603,0.14622222222222223,0.0,9.27,Low
20160222_115828_641_361,3,2,1,428,430,505.8,0.003954,0.005931,5.63,16.8,1.7287,3983,67.34,0.06040291599203133,0.26334162672071787,0.008888888888888898,0.23634543253784424,14.22,Low
20160222_115828_641_721,3,3,1,410,415,478.79,0.006266,0.006266,6.84,24.39,1.6133,3717,76.51,0.05316779493384785,0.24258446286707852,0.09322222222222223,0.37454235717808093,19.09,Low
20160222_115833_1281_1081,4,1,2,263,263,312.29,0.003202,0.012809,6.7,23.97,1.0747,2476,33.85,0.019399716927456002,0.11462934322135664,0.08855555555555554,0.19139556777596795,10.35,Low
20160222_115833_1281_361,6,2,3,146,146,169.61,0.011792,0.035375,7.18,22.0,0.6233,1436,24.54,0.0,0.004979874926752433,0.06666666666666667,0.704852134670273,19.41,Low
20160222_115833_1281_721,9,5,3,556,559,663.8,0.007532,0.013558,5.11,21.19,1.8181,4189,45.05,0.06600794045131732,0.3847645030211626,0.05766666666666668,0.4502159326947503,23.97,Low
20160222_115833_1921_1081,2,2,1,402,403,485.84,0.004117,0.004117,4.48,17.58,1.1211,2583,47.98,0.022308812396257677,0.24800238234757302,0.017555555555555536,0.24608855482000624,13.35,Low
20160222_115833_641_1,12,2,6,413,410,492.43,0.004062,0.024369,4.89,15.98,1.2439,2866,70.04,0.03000788402489659,0.25306679218820555,0.0,0.2428009982217307,13.15,Low
20160222_115833_641_361,9,4,3,490,493,567.14,0.007053,0.015869,5.82,20.0,1.9536,4501,39.01,0.07450325157249463,0.3104813686971057,0.044444444444444446,0.4215843034115871,21.28,Low
20160222_115843_1281_1,5,3,1,370,374,419.98,0.007143,0.011905,8.35,29.16,2.135,4919,96.66,0.08587631015095633,0.19738902390993196,0.14622222222222223,0.4269639414814925,21.41,Low
20160222_115843_1281_361,6,1,3,360,358,411.43,0.002431,0.014583,4.77,18.0,1.0373,2390,107.27,0.017054885665965004,0.19081835560380028,0.022222222222222223,0.14531000164377827,9.39,Low
20160222_115843_1281_721,2,2,1,225,227,254.75,0.007851,0.007851,4.86,13.18,0.7153,1648,100.61,0.0,0.07040989826991616,0.0,0.4692837609647484,13.49,Low
20160222_115843_641_1081,4,0,2,349,347,386.76,0.0,0.010342,4.86,14.39,1.1454,2639,86.05,0.023832325755996482,0.17185947991815487,0.0,0.0,4.89,Low
20160222_115847_1281_1,10,5,5,424,426,498.49,0.01003,0.020061,5.59,19.99,1.4826,3416,108.98,0.04497342472323624,0.25772389744377955,0.044333333333333315,0.5995307760127916,23.66,Low
20160222_115847_1281_361,6,2,3,182,182,209.75,0.009535,0.028605,4.79,17.58,0.454,1046,108.9,0.0,0.035827433500802135,0.017555555555555536,0.5699427666283118,15.58,Low
20160222_115847_641_1081,5,2,2,370,371,420.29,0.004759,0.011897,4.52,14.0,1.0299,2373,98.19,0.01659093509550956,0.1976272586672303,0.0,0.2844633063853315,12.47,Low
20160222_115847_641_361,3,1,2,214,213,252.35,0.003963,0.011888,4.45,13.18,0.6128,1412,120.19,0.0,0.06856550014889674,0.0,0.2368833963448348,7.64,Low
20160222_115847_641_721,6,3,2,399,402,466.2,0.006435,0.01287,3.84,12.0,0.9957,2294,119.0,0.014446731107729014,0.2329090577238975,0.0,0.3846441219982366,15.8,Low
20160222_115858_641_1,15,2,8,378,373,430.99,0.00464,0.034804,3.0,9.99,0.6719,1548,50.25,0.0,0.2058502002901085,0.0,0.2773502293817899,12.08,Low
20160222_115858_641_1081,7,5,2,385,388,445.58,0.011221,0.01571,3.81,12.0,0.9735,2243,101.8,0.013054879396362695,0.21706260386747234,0.0,0.6707213198045398,22.52,Low
20160222_115858_641_361,14,2,6,316,312,364.61,0.005485,0.038398,3.03,8.0,0.5586,1287,56.22,0.0,0.15483722225957988,0.0,0.32785905348256844,12.07,Low
20160222_115858_641_721,9,1,5,325,320,359.76,0.00278,0.025016,4.57,19.99,0.796,1834,95.24,0.0019263353077355989,0.15111000105668645,0.044333333333333315,0.1661710426037448,9.09,Low
20160222_163930_1281_361,2,1,1,556,556,601.15,0.001663,0.003327,16.35,66.0,4.2726,9844,0.77,0.21989532898954384,0.33661802707038496,0.5555555555555556,0.09940375678058547,30.29,Moderate
20160222_163930_1281_721,2,2,3,612,611,658.63,0.003037,0.003037,20.64,62.36,5.0851,11716,8.69,0.2708358477050904,0.3807913620688,0.5151111111111111,0.18153289798114136,33.71,Moderate
20160222_163930_1921_1081,7,10,2,572,586,726.42,0.013766,0.009636,13.47,50.33,4.9188,11333,50.19,0.26040949907444993,0.43288792399542747,0.3814444444444444,0.8228455296701982,47.44,High
20160222_163930_1921_721,6,5,2,1082,1085,1257.31,0.003977,0.004772,16.53,55.14,12.7122,29289,4.45,0.7490246849916692,0.8408764733570928,0.4348888888888889,0.2377202289334867,56.56,High
20160222_163930_1_1,9,3,4,814,814,928.74,0.00323,0.009691,4.04,12.0,2.1159,4875,13.54,0.08467881611099702,0.5883706855973642,0.0,0.19306923295327183,21.65,Low
20160222_163930_1_1081,5,1,3,935,934,1045.84,0.000956,0.004781,4.14,12.0,2.5777,5939,30.91,0.11363183954833785,0.6783619439187697,0.0,0.05714371105366189,21.23,Low
20160222_163930_1_361,17,14,8,1654,1680,1919.42,0.007294,0.008857,5.93,30.36,5.2839,12174,11.66,0.28329981708435276,1.0,0.15955555555555556,0.43598977868766714,46.97,High
20160222_163930_1_721,9,8,3,1284,1293,1439.63,0.005557,0.006252,7.4,32.76,5.0829,11711,152.77,0.2706979164544145,0.9809892506172011,0.1862222222222222,0.3321627639384928,44.25,Moderate
20160222_163930_641_1,11,7,3,916,923,1058.03,0.006616,0.010397,5.42,20.0,3.3507,7720,177.58,0.1620958653540209,0.6877299493751142,0.044444444444444446,0.39546317189437974,32.24,Moderate
20160222_163930_641_361,9,4,6,1288,1287,1469.67,0.002722,0.006124,5.95,22.0,4.6545,10724,5.96,0.24383894018642657,1.0,0.06666666666666667,0.16270416473647245,36.83,Moderate
20160222_163930_641_721,3,2,1,231,231,253.37,0.007894,0.011841,13.29,42.34,1.908,4396,3.52,0.07164431292212056,0.06934936935033,0.2926666666666667,0.4718540324870365,22.64,Low
20160222_164021_1281_1,7,5,2,537,541,618.46,0.008085,0.011318,7.57,28.0,2.3455,5404,75.11,0.09907382299972256,0.34992074851823757,0.13333333333333333,0.48327081994650245,26.64,Low
20160222_164021_1281_361,11,10,1,578,590,683.61,0.014628,0.016091,10.08,37.56,3.2821,7562,114.94,0.1577949181738529,0.39998847251174374,0.23955555555555558,0.8743705076286256,41.79,Moderate
20160222_164021_641_1081,5,3,3,376,380,420.59,0.007133,0.011888,6.44,16.8,1.6949,3905,97.64,0.0582837904134646,0.19785780843235767,0.008888888888888898,0.42636620391816965,17.28,Low
20160222_164021_641_361,2,3,2,104,105,122.81,0.024428,0.016285,9.7,23.97,0.5352,1233,88.92,0.0,0.0,0.08855555555555554,1.0,27.21,Low
20160222_164021_641_721,8,6,1,460,466,537.66,0.011159,0.014879,9.45,34.76,3.27,7534,104.75,0.15703629629513524,0.28782601177725053,0.20844444444444443,0.6670153469119383,33.01,Moderate
20160222_164822_1281_1,2,1,1,173,173,188.74,0.005298,0.010597,17.89,56.78,1.2917,2976,94.69,0.033004753925946595,0.019681264949711348,0.45311111111111113,0.31668136104843164,20.56,Low
20160222_164822_1281_361,1,1,4,241,238,259.12,0.003859,0.003859,14.12,48.0,1.0252,2362,89.17,0.01629626378724731,0.07376823984860567,0.35555555555555557,0.23066692568627742,16.91,Low
20160222_164822_1281_721,1,1,1,256,256,294.11,0.0034,0.0034,13.64,37.99,2.4201,5576,97.88,0.10375094631809768,0.10065802745463456,0.24433333333333335,0.20323077152975982,16.3,Low
20160222_164822_641_1,2,1,1,377,378,416.52,0.002401,0.004802,13.88,40.0,3.2856,7570,79.71,0.15801435425447374,0.1947300166187956,0.26666666666666666,0.14351678895380982,19.07,Low
20160222_164822_641_1081,2,0,1,375,374,431.16,0.0,0.004639,15.57,50.0,4.9705,11452,106.89,0.2636508834653346,0.20598084515701406,0.37777777777777777,0.0,21.19,Low
20160222_164822_641_361,1,0,2,350,348,376.58,0.0,0.002655,13.26,48.33,2.5985,5987,89.86,0.11493591682745584,0.16403615788816417,0.3592222222222222,0.0,15.95,Low
20160222_164822_641_721,1,1,1,208,208,240.31,0.004161,0.004161,15.94,44.0,2.3082,5318,109.59,0.09673526134053499,0.05931276957511601,0.3111111111111111,0.24871860009862667,17.9,Low
20160222_164825_1281_1,2,2,1,471,473,559.16,0.003577,0.003577,16.29,58.8,5.5872,12873,115.21,0.30231552087072233,0.30434874494471614,0.4755555555555555,0.2138107264005738,32.4,Moderate
20160222_164825_1281_361,2,1,1,451,453,535.01,0.001869,0.003738,11.82,36.76,4.4527,10259,123.94,0.2311868827380607,0.28578948885195826,0.23066666666666663,0.11171715058503563,21.48,Low
20160222_164825_1281_721,2,1,1,165,164,190.92,0.005238,0.010475,14.85,40.0,1.9193,4422,158.21,0.07235277798241063,0.021356593242970633,0.26666666666666666,0.31309493566849467,16.84,Low
20160222_164825_641_1081,4,4,1,495,501,574.32,0.006965,0.006965,22.63,64.0,7.3898,17026,105.18,0.41533137199274606,0.31599919307582214,0.5333333333333333,0.41632421285434623,42.02,Moderate
20160222_164825_641_721,1,1,1,542,541,641.24,0.001559,0.001559,13.98,45.94,6.1558,14183,141.26,0.3379644795681498,0.36742716068358017,0.33266666666666667,0.09318728612202812,28.28,Moderate
