image,CSI_A_equal,CSI_B_extent,CSI_C_width,CSI_D_extent_width
20160222_081113_1_1,1.0819775192631775,1.0819775192631775,1.1930886303742883,1.087804237632764
20160222_081113_1_361,22.04474106077489,19.59955885518446,19.382716822516695,18.069476913955434
20160222_081113_1_721,32.222958392196055,29.87673837699831,29.255789127861565,27.020265212030353
20160222_081113_641_361,22.106041048591287,20.80585567892773,20.642534769856297,18.984807990349232
20160222_081113_641_721,12.949467262295054,11.637093645781595,11.451536928608059,10.730687244183118
20160222_081908_1281_1,7.7222934506559024,6.58710440582892,6.565372396844579,6.221298778493402
20160222_081908_1281_1081,7.643302246527966,6.502408395760749,6.495347256166487,6.128764076410899
20160222_081908_1281_361,0.3093209348792975,0.3093209348792975,0.3093209348792975,0.24745674790343802
20160222_081908_1281_721,42.3664551633688,38.706431077024206,38.07484060779498,35.95190062470904
20160222_081908_1_1,2.131048328994515,2.131048328994515,2.131048328994515,1.704838663195612
20160222_081908_1_1081,3.05574501195977,3.05574501195977,3.05574501195977,2.444596009567816
20160222_081908_1_361,7.583285197208983,6.530071610634169,6.530071610634169,6.0666281577671874
20160222_081908_1_721,7.79637093275532,6.918294452234093,6.918294452234093,6.237096746204256
20160222_081908_641_361,20.052880799879983,16.34451695702519,16.34451695702519,16.042304639903985
20160222_081908_641_721,33.221791435971014,32.68273210020474,31.875387574586355,28.19212220001357
20160222_082414_1281_1081,30.233116102944006,29.89317240191293,29.526598613308945,28.650751570674295
20160222_082414_1281_361,8.04552914360816,7.006732320455784,7.0464719168780015,6.621388566486538
20160222_082414_1281_721,20.673778194341132,20.631537584179917,20.169034316585105,19.508473535106972
20160222_082414_1_361,35.104731579722234,32.686631904505184,32.82664414067901,30.470427458096793
20160222_082414_641_361,38.99500054964591,37.63337644132715,36.89926693471176,34.966441675169726
20160222_114806_1281_1,35.801192738504724,33.26924928569328,32.639459897308654,29.900532967573024
20160222_114806_1281_1081,31.551352182526337,30.781705634936774,30.141289270647796,26.52191447459901
20160222_114806_1281_361,30.330759905781196,29.526250631176577,28.716868484809577,25.883372217358957
20160222_114806_1281_721,28.417252879444003,27.230240200832984,26.707229003149113,24.042046921145165
20160222_115219_1281_361,13.772427416701378,12.718312285763577,12.533420740304871,11.64994724650074
20160222_115219_1281_721,17.55162794682966,16.258800070098214,16.000303393596983,14.820517932688421
20160222_115219_1921_1081,1.580802889557055,1.580802889557055,1.580802889557055,1.264642311645644
20160222_115219_641_1,18.256063865993127,17.758676953287623,17.652330671135662,16.77087699043175
20160222_115219_641_361,8.42068161292902,6.921576127107275,6.96510364221484,6.8272680379058635
20160222_115233_1281_361,13.401712736842889,13.282196926218736,13.113975173520064,12.297813694871653
20160222_115233_1281_721,7.895391493464649,6.908800534444842,6.846660938614754,6.440592386431892
20160222_115233_1921_721,18.027031479939527,19.18569317063183,18.36036481327286,17.405615232002898
20160222_115233_1_361,25.192484714975443,24.07766997246032,23.545717728021064,21.217892260858864
20160222_115233_1_721,7.679383530429948,6.491285148838231,6.484506141347625,6.157064839325172
20160222_115233_641_361,27.92130728121319,26.86349011215105,26.539811584093453,24.848847325530198
20160222_115324_1281_1,3.4117303960309897,3.481236774567633,3.4117303960309897,2.868397073898078
20160222_115324_1281_361,22.95680748435014,20.961165621917992,20.667277040413772,19.215445372710775
20160222_115324_1281_721,43.26125044299348,38.958503368557416,41.22800898690478,40.809989117700056
20160222_115324_1_1,19.835301356057542,19.120083217995,18.705278492595745,16.697850535644545
20160222_115324_641_1081,34.54652862237905,33.44760059433436,33.68433374665034,33.99486770438238
20160222_115324_641_361,21.645263567672224,21.040832209494386,20.66295495576828,19.311965361589984
20160222_115324_641_721,27.193242464872945,24.768084717336137,25.201615107752986,24.17642207995356
20160222_115519_641_1,17.078171105388215,15.922099738611625,16.28483956526757,15.683723897665347
20160222_115519_641_1081,23.52181812644788,21.981648282981904,22.43500772050105,21.99518007056445
20160222_115519_641_361,16.74544016755628,15.770353104296408,15.955017276532137,15.242579345129121
20160222_115519_641_721,20.012374599787304,17.922411356823748,17.813827766219028,16.671511305483733
20160222_115620_1281_1,9.90029034229422,8.960368346960976,9.40389586206854,8.810955021398023
20160222_115620_641_1081,21.963451464932415,19.911067832550096,19.794784544227284,18.956661081924892
20160222_115620_641_721,12.176385318070587,11.906223190563807,11.75491226026106,10.488174559506405
20160222_115714_1281_1081,13.943496563398963,13.011299706245888,12.817271990075657,11.720630460837404
20160222_115714_1281_721,5.90812215386312,5.991484353490392,5.90812215386312,4.8932221223450405
20160222_115714_641_1,7.6294273973661,6.6545174315865765,6.6545174315865765,6.103541917892881
20160222_115714_641_361,19.241403143920987,17.203501517579696,17.017819408360086,15.764486733576005
20160222_115738_1281_1,0.614607248868865,0.614607248868865,0.614607248868865,0.491685799095092
20160222_115738_1281_1081,12.18211254582191,11.957805920332575,11.67851864872243,10.304264579877815
20160222_115738_1281_361,7.9835045278692025,7.135100665656843,7.090484608264905,6.47603573707924
20160222_115738_1281_721,10.930997395446814,10.435822148451857,10.502238589195144,9.676409479315318
20160222_115738_641_1081,5.759489002105355,5.822192862142753,5.759489002105355,4.73299892175908
20160222_115805_641_1,18.667748311614485,17.00878465126665,16.825982727683,16.188691385347774
20160222_115805_641_1081,8.90561272379911,9.059476601328695,8.90561272379911,7.432217934098463
20160222_115805_641_361,10.00375807472331,9.531852092366302,9.390778203535755,8.285154237439741
20160222_115805_641_721,9.321358977882339,8.779424980413514,8.590325937938525,7.835285267255846
20160222_115828_641_1,12.995402297928809,11.754506138844,11.564717440115633,10.775899235799784
20160222_115828_641_1081,9.26757646458781,9.55777284420596,9.998687575698922,9.45667615312877
20160222_115828_641_361,14.224471603487052,13.344759020757987,13.087188885242277,12.072495331598843
20160222_115828_641_721,19.087920930030734,17.481048118809568,17.681320255251443,16.73423691558529
20160222_115833_1281_1081,10.3495045870084,9.489525332765842,9.835304525906338,9.359156394436836
20160222_115833_1281_361,19.4124669065923,15.888206233240934,16.22153956657427,16.196640191940507
20160222_115833_1281_721,23.966376070847424,22.045336109630252,22.003629740707005,20.409846927857778
20160222_115833_1921_1081,13.348882627984807,12.229983915866063,12.206217631662554,11.077749781905977
20160222_115833_641_1,13.146891860870818,12.082926289886647,11.932886869762164,10.817592328945619
20160222_115833_641_361,21.275334203140794,19.53992894394533,19.38963490830508,18.209744322682024
20160222_115843_1281_1,21.411287444115075,19.705849287462392,20.00757884781872,19.450015279023845
20160222_115843_1281_361,9.38513662839414,8.743861048505073,8.76969773128636,7.900880381597183
20160222_115843_1281_721,13.492341480866612,11.145922676042872,11.145922676042872,10.793873184693291
20160222_115843_641_1081,4.89229514185378,5.011456770633763,4.89229514185378,4.152159371042988
20160222_115847_1281_1,23.664035787828514,20.891249031380738,20.888048574431224,19.824296210828507
20160222_115847_1281_361,15.583143892116736,12.733430058975175,12.821207836752954,12.642070669248945
20160222_115847_641_1081,12.467037503701784,11.127675647252673,11.044720971775126,10.139539353916522
20160222_115847_641_361,7.6362224123432885,6.451805430619115,6.451805430619115,6.10897792987463
20160222_115847_641_721,15.799997770746577,13.949010816294038,13.876777160755394,12.784465527674552
20160222_115858_641_1,12.080010741797459,10.69325959488851,10.69325959488851,9.664008593437968
20160222_115858_641_1081,22.520970076709368,19.23263787466848,19.167363477686667,18.14732485533112
20160222_115858_641_361,12.067406893553704,10.428111626140863,10.428111626140863,9.653925514842964
20160222_115858_641_721,9.0885178075375,8.267294271057454,8.479329261185441,7.7334109324406874
20160222_163930_1281_361,30.286816709901743,30.889274570946533,32.5675757037766,31.983962213372386
20160222_163930_1281_721,33.706780471653566,34.153295220273314,35.37467153730342,34.82489396548487
20160222_163930_1921_1081,47.439684929612994,44.627504776634254,45.23267950348423,44.37028737887935
20160222_163930_1921_721,56.56275690427843,59.119279184569365,57.54860020405545,57.08934126222833
20160222_163930_1_1,21.652968366540826,21.11101628232945,20.687622201774467,18.16916285434263
20160222_163930_1_1081,21.228437363019232,21.51087800549261,20.942718807750925,18.119068285898766
20160222_163930_1_361,46.97112878318938,46.207678975172804,45.588957667528824,42.00545675295059
20160222_163930_1_721,44.25180383080827,43.944479593387875,43.522101122226914,39.97064445141299
20160222_163930_641_1,32.24333577669898,31.076499243997187,30.4882421394493,27.860071719343836
20160222_163930_641_361,36.83024428973914,37.23591816698891,36.35005679939011,32.56925150032224
20160222_163930_641_721,22.637859535653842,20.636810937829264,21.741922706551993,21.75339742441095
20160222_164021_1281_1,26.63996811994489,24.718983135210994,24.89028068687905,23.63604605928647
20160222_164021_1281_361,41.79273634674444,38.20985839947058,38.61866158637909,37.407693814689644
20160222_164021_641_1081,17.284917291322017,15.444505223798489,15.197530716175612,14.499660626081145
20160222_164021_641_361,27.21388888888889,22.21388888888889,22.656666666666666,22.656666666666666
20160222_164021_641_721,33.008052485719205,30.458157232635198,30.71519797338174,30.061249395971164
20160222_164822_1281_1,20.56196227588001,19.143579240267584,21.24411102619341,21.310728471074587
20160222_164822_1281_361,16.907174621942143,15.835321312446995,17.531617771288534,17.244257890981743
20160222_164822_1281_721,16.29932696589563,15.80192783983732,16.5048397749135,16.520304369230814
20160222_164822_641_1,19.073195662343643,19.145683488846963,19.68894505090793,19.50536673908632
20160222_164822_641_1081,21.18523766000316,22.503492077329827,23.074126548892046,23.36247674043365
20160222_164822_641_361,15.954857423446054,16.529537007583333,17.750968534557167,17.50546732925362
20160222_164822_641_721,17.896943553134715,17.137026859344257,18.208906108197137,18.39601856702423
20160222_164825_1281_1,32.40076369428919,32.84328766663993,33.7094878400641,33.69932171969413
20160222_164825_1281_361,21.484004721043025,22.081353381808153,22.078752301451182,21.805739270881695
20160222_164825_1281_721,16.83677433901356,15.633063550583143,16.60463299400442,16.859613917701623
20160222_164825_641_1081,42.024702781406184,42.019738577098195,42.609748383801126,43.10640927838574
20160222_164825_641_721,28.28113982601062,29.505025793241224,29.47853672873381,29.331223323156657
20160222_164920_641_1,15.585436599752228,13.641040270843249,13.615891328603528,12.518647164281226
20160222_164920_641_361,27.392931979495987,24.681009767354467,25.388037173005223,24.944735216739723
20160222_164920_641_721,2.792550528205285,2.7955050782907866,3.3481060837608405,3.351060633846342
20160222_164936_641_1,10.095111898716254,9.361102248810308,9.589819430707669,8.95198848851162
20160222_164936_641_1081,2.1934294044261575,2.27735586826074,2.2595405155372688,2.054818673432313
20160222_164936_641_361,13.231672676459782,13.141862022128764,12.869815655284928,12.369430874855494
20160222_164936_641_721,9.153593704894202,9.630310753040046,9.598038149338647,9.165197949095937
20160222_165012_1281_1,1.538772484808165,1.542009166997322,1.538772484808165,1.237491352224846
20160222_165012_641_1,8.03800990133965,6.604934093273182,6.604934093273182,6.430407921071721
20160222_165012_641_361,2.783514796758407,2.887033767791277,2.783514796758407,2.433849779472465
20160222_165012_641_721,7.853323147835195,6.973144355777445,6.950440558436072,6.328066112950906
20160222_165031_641_1,29.379114854313183,25.695262872668156,25.59459625720324,24.504625114380374
20160222_165031_641_1081,37.68860577410427,36.551859817700446,37.341257503973374,37.723200357848654
20160222_165031_641_361,31.15046445506874,27.921459125348136,28.15974201450627,27.463805785738728
20160222_165031_641_721,25.21126433281713,25.11680456446308,25.526730634531813,25.2136037705607
20160222_165037_1281_721,31.553197327273395,31.18515572319368,31.269012317535257,30.04817800646889
20160222_165037_1921_361,10.139010364514665,9.715226762934698,9.495693991984693,8.636940500178412
20160222_165037_1921_721,8.113871708281534,7.1014693786707825,7.084181751434864,6.70345039887484
20160222_165037_1_361,49.61793466435341,49.710105750780244,51.449114407359474,50.858552640546506
20160222_165037_1_721,22.319640692054932,21.79784219615111,23.93463102863099,23.69546822201751
20160222_165037_641_361,44.965677387962685,42.505383473343116,42.27485451918766,40.958044263125494
20160222_165037_641_721,21.078843073066718,18.607904223686305,19.06465676823052,18.6162360360316
20160222_165218_1281_721,32.72582492226109,33.35898679576641,32.722759225921735,30.999781744164896
20160222_165218_1921_1081,3.706160301294025,3.8477671063203656,4.150049190182914,4.135919628865677
20160222_165218_1921_721,44.54571628157878,44.80111012073379,43.95387908536644,40.87770176266439
20160222_165218_1_361,14.4183275186109,13.636346893309916,13.400978185835456,12.005399429837643
20160222_165218_641_1,4.597807006209085,4.663488927340623,4.597807006209085,3.809609447230343
20160222_165218_641_361,13.179110892878635,11.979644585108579,11.753805673135362,10.99496653824934
20160222_165218_641_721,19.88266878875916,20.31029056738869,19.75103037349427,17.91354430768505
20160222_165256_1281_1,1.64139483675262,1.64139483675262,1.7958392811970647,1.6220047582909851
20160222_165256_1281_361,9.617583461909607,9.092527443424908,8.89931477555413,8.25826988304702
20160222_165256_1281_721,27.646045408493762,26.11023956434447,25.479178665781593,23.823402568365225
20160222_165256_1921_1081,8.358785884680328,8.697697074196299,8.757674773569216,8.16262886455398
20160222_165256_641_1,2.07453888996648,2.1067724828091023,2.07453888996648,1.724098297658428
20160222_165256_641_721,16.341632455507035,16.559474661615436,16.081054094603058,14.73681376509706
20160222_165625_1281_361,16.488066557007436,15.105643415696651,14.967422195914176,13.466895685170904
20160222_165625_1921_361,19.309996134200112,19.07070912742092,18.626782099322128,16.33585096355767
20160222_165625_1921_721,14.960971482237046,13.01854289722805,13.238984204084852,12.861227905409365
20160222_165625_1_721,20.180340206739466,18.71092232590334,18.416117788592153,16.733881240013947
20160222_165625_641_361,3.357573079472425,3.357573079472425,3.357573079472425,2.68605846357794
20160222_165625_641_721,16.570831532421238,14.890129640589118,14.793818867026426,13.713731217506814
20160222_165715_1281_361,29.764957909696665,26.604999526793783,26.531936578767567,24.75364777936532
20160222_165715_1921_361,21.64935376084048,19.457661434379393,19.294267761348557,17.646270354734057
20160222_165715_1921_721,13.74096210274126,11.311158907833985,11.311158907833985,10.992769682193009
20160222_165715_1_721,34.451846123952244,32.02192531497744,32.20724563679613,30.470836255524418
20160222_165715_641_721,26.87701894533321,25.99389444875944,26.214759929043197,24.348773084587943
20160222_165909_1281_1081,11.075463479870134,10.647064546329785,10.61690479947543,9.80735694427149
20160222_165909_1281_361,16.63933005898926,16.175030464877782,15.802796339118968,14.055932298709042
20160222_165909_1281_721,7.8862427641462824,6.5272864139318445,6.5272864139318445,6.308994211317026
20160222_165909_1921_361,21.39571243645776,20.23899232384997,19.90077079058738,17.79301301569139
20160222_165909_1_1,10.971984794082537,11.473466771327017,11.21531812741587,10.267218456421654
20160222_165909_1_361,9.045667638913613,7.248868523565208,7.248868523565208,7.236534111130891
20160222_165909_641_361,32.124543944345284,31.562142809592007,30.645355339879853,27.710987872678327
20160222_165909_641_721,9.050814917834035,8.456457213340608,8.294975769012327,7.563614822923793
20160222_165919_1281_1,29.513828296523876,28.04042625857628,28.36762736704197,27.036660420287728
20160222_165919_1281_361,18.34273750765728,17.98321756953261,17.73343870363052,16.507081071263332
20160222_165919_1281_721,5.51137373049344,5.626585509822248,5.576929286048996,4.770633654163478
20160222_165919_1921_721,2.9833139607489025,2.9833139607489025,2.9833139607489025,2.3866511685991223
20160222_165919_1_361,15.098716417666969,14.302308000644798,14.212158713576947,12.879271708269268
20160222_165919_1_721,3.560992457275853,3.565326319868114,3.560992457275853,2.857461691005204
20160222_165919_641_361,31.844760730359727,30.162299848240558,29.550448385916777,26.961733731157565
20160222_165919_641_721,16.205056479405545,15.47048388256553,15.536113105077376,13.98612007183408
20160222_165937_1281_361,11.374813536127705,11.6365772692997,11.374813536127705,9.623378295246155
20160222_165937_1281_721,30.024463157924835,30.36655660603139,29.879733659077967,28.539883086913377
20160222_165937_1921_721,29.46095253034575,29.116531923940936,28.789150326686602,27.4168585521186
20160222_165937_1_1081,47.07217620361418,47.12228302831323,47.66745142025254,46.78962640123494
20160222_165937_1_361,14.549490144031783,14.552141269219124,14.120314573565995,12.503245506531682
20160222_165937_1_721,17.870941800833734,16.699882359460553,17.12595892767531,16.63571141534859
20160222_165937_641_361,21.935794747608956,21.76983951378282,21.506654393847942,18.78167270462359
20160222_165937_641_721,19.86192189708991,20.326979042069492,19.909510781495765,18.500029594374936
20160222_165947_1281_721,18.279259867140325,19.220366357902847,18.989259867140323,17.925620875237307
20160222_165947_1921_721,19.698177972412438,19.903480704556852,20.221183396880825,19.12313699328201
20160222_165947_1_721,15.491495244159575,15.604923856178038,15.353615801184567,14.491367860870152
20160222_165947_641_1,16.132945842288485,14.15203836645722,14.038174551623653,13.13408430349792
20160222_165947_641_361,13.997193910713257,12.282259461427508,12.42370392032687,11.888199544105216
20160222_165947_641_721,34.005143676040085,33.44759560640311,33.311018315529616,32.17726952257906
20160225_114503_1281_1,25.014673117445913,21.25811528172027,21.40390321486053,20.609051516565092
20160225_114503_1281_361,58.21195397258876,58.8647807204058,58.06341286733879,57.95007666198278
20160225_114503_1281_721,22.556067337822462,21.94594871189538,22.74062815844972,22.131050532704844
20160225_114503_1921_1,34.09363124235211,35.20118549116822,35.16574601294542,35.41911728366062
20160225_114503_1921_361,42.85615990091555,42.59973574492009,43.47334718039605,44.093260605336084
20160225_114503_1_1081,1.6678354258926598,1.6678354258926598,1.6678354258926598,1.334268340714128
20160225_114503_1_361,43.540131793420784,38.95771872464081,38.86485240092139,36.171171415508795
20160225_114503_1_721,45.09456718591988,42.61076573479227,42.86920090562412,41.147672295961065
20160225_114503_641_1,5.954990744913258,6.233745100327607,6.288324078246591,5.988167973425972
20160225_114503_641_1081,36.865014151064386,36.292992350035966,36.29468949654839,33.933061472271106
20160225_114503_641_361,60.72099799349342,58.85951644909782,58.73669463171773,56.275775362888204
20160225_114503_641_721,29.585510527846637,29.022159659694267,29.15879268820302,27.564031254148695
20160302_155848_1281_361,34.87899972417597,36.611717567704325,37.036751326029616,38.15757670713463
20160302_155848_1281_721,21.50214662094695,22.98080881320744,23.365479954280282,23.8857083479452
20160302_155848_1921_1,12.131854953483057,12.76791394417113,13.109632731260835,12.933157499718147
20160302_155848_1921_361,65.07232221769897,68.41743452388737,67.88148924549876,70.00308166426976
20160302_155848_1_721,39.38693266160954,42.32591062239005,42.15971043938732,42.93305760640419
20160302_155848_641_721,34.228894442606816,36.35645220190412,35.44083262325971,35.605465822485385
20160302_155914_1081_641,7.623625689934713,6.453255540948626,6.453255540948626,6.098900551947771
20160302_155914_361_1281,40.585360383406375,42.380731197806924,42.24945843893287,42.50861160225099
20160302_155914_361_1921,34.6318533066442,36.602775675833115,36.21373588109989,36.48356223478181
20160302_155914_361_641,4.36127742525794,4.487931228790547,4.805166314146829,4.630107325049343
20160302_155914_721_641,35.43884854091491,35.88975705679079,37.44333988285234,36.97502429171994
20160303_091825_1281_361,45.39433792190842,44.396869824052985,43.762442363264555,42.8154363702147
20160303_091825_1921_361,11.895198381536995,11.986460280066616,14.182976159314773,14.274238057844393
20160303_091825_1921_721,37.120328644995695,37.1590787384652,37.19506246083607,37.08651769347705
20160303_091825_1_1,6.371495531776346,6.423572415909392,7.593717753998567,7.645794638131615
20160303_091825_641_1,43.64719998212717,41.090920049430345,40.77078656524341,39.373582509631156
20160303_091825_641_1081,21.530254526465555,18.99598125902655,18.9493864454854,18.206282137143642
20160303_091825_641_361,39.60131547380891,37.874853605692074,37.65288265868083,36.649438717514045
20160303_091825_641_721,21.07645561292451,18.841453060380502,18.508379464479706,17.78953390436342
20160303_091830_1_1921,50.410082675002755,51.390406937730695,50.7145672176754,50.83085669122389
20160303_091830_361_1281,43.34315733111388,39.195588212293394,39.33326645142683,37.86139160884647
20160303_091830_361_1921,41.98738414081231,41.878603064852825,41.98456979311834,40.0446405227855
20160303_091830_721_1,32.50556980321979,32.22540383329464,32.12751674238837,31.442452246610596
20160303_091830_721_1281,27.32777777777778,22.32777777777778,22.793333333333337,22.793333333333337
20160303_091830_721_641,44.19247098467544,41.33603011988863,41.66633941765661,40.020024858871075
20160303_091837_361_1,24.318451636639086,23.742782327071073,23.614437994939586,22.82256108468535
20160303_091837_361_1281,36.47365134886859,31.78560324847972,31.894762459979702,30.64504710053935
20160303_091837_361_641,60.55383520791221,58.4654572456819,57.94503319851777,56.23724959399136
20160303_091837_721_1,46.53015911151641,43.66487863963765,43.90299360794742,41.63456401926025
20160303_091837_721_1281,36.187264608778804,32.98195862872668,32.94773691277484,31.589366230037825
20160303_091837_721_1921,45.97829876456693,43.59691922317177,42.60695797279711,40.3581170679584
20160306_104522_1281_1081,0.44323192345747753,0.44323192345747753,0.44323192345747753,0.35458553876598203
20160306_104522_1281_361,46.89089084389316,46.036597142883465,48.33166190874603,47.93147203227828
20160306_104522_1281_721,53.53735537420018,53.231777013827156,54.95637613893898,53.75624160469204
20160306_104522_1921_361,19.885493386056517,20.13165824629499,20.486710147281944,19.72273535131574
20160306_104522_1921_721,22.11788522532472,19.887021684450193,20.496874085821077,20.030158933073565
20160306_104522_1_361,71.37543491450049,71.69699864125842,69.89783995309607,68.69644308570285
20160306_104522_1_721,13.167981756674227,13.56852313683313,15.211870645563117,15.423245943434965
20160306_104522_641_361,54.02874439802257,53.09132554649163,54.15923524018498,53.15384279769801
20160306_104522_641_721,48.50515990535077,48.160736845220036,50.06487979058516,49.815842033550375
20160306_104527_1281_361,50.62825407712316,50.444595041730146,52.41858967355733,52.37239177582194
20160306_104527_1281_721,53.264862769109634,54.76158076252035,53.862146716037174,52.05520275269851
20160306_104527_1921_721,82.83371950531041,85.43171110709766,84.96393332931987,85.33142004869278
20160306_104527_1_361,46.523132397810095,46.020649401812186,45.40345906138845,45.73288659909554
20160306_104527_641_361,57.43619078527959,58.34988513036164,59.39052434940605,58.96545196791264
20160306_104527_641_721,47.10491968679857,47.62372763116899,47.777488065485244,48.02974821413969
20160307_144115_1281_1,13.132192925994914,12.903400598163739,12.894597242324274,12.207805496919304
20160307_144115_1281_361,27.398258461488762,25.66836617539831,26.139787117193585,25.506875996711564
20160307_144115_1281_721,6.247854990542475,6.433537099762082,7.311743879431363,7.49742598865097
20160307_144115_641_1081,11.707422190216613,11.282992230948764,11.352865520544656,10.64841339520373
20160307_144115_641_721,11.49731433410134,10.843848086427755,11.189971966628889,10.636714817989908
20160307_144252_1281_1,22.947472881405286,20.718052127619636,20.57275618410457,19.981903525487688
20160307_144252_1281_361,23.284813015123127,21.269249476615677,21.21547213701344,20.513182869080758
20160307_144252_1281_721,19.396860633520895,18.14275763574244,17.97820360039129,17.08659657751902
20160307_144252_641_1081,32.10507294856147,28.978402412402925,29.076845481192127,28.058283332381873
20160307_144924_1281_361,10.115783402992346,9.582446204303675,9.572519996652009,8.64359024880832
20160307_144924_1281_721,2.055477104593807,2.055477104593807,2.0999215490382515,1.7332705725639341
20160307_144924_1921_1,0.9944444444444425,0.9944444444444425,1.1933333333333307,1.1933333333333307
20160307_144924_1921_361,24.388082119664293,22.172682451358742,21.929288652935863,19.9972532925772
20160307_144924_1_361,28.55005292780488,25.931047305787104,25.66357823451897,23.374980484780178
20160307_144924_641_361,1.0447746856357873,1.0447746856357873,1.0447746856357873,0.8358197485086301
20160307_144924_641_721,12.495400012589203,10.854235679540981,10.782284156105993,10.140223056941341
20160307_144931_1281_1,13.379280508295215,12.216146279795712,11.949492256827025,11.23673245257355
20160307_144931_1281_361,10.913566891297478,10.465777880604373,10.415515349715697,9.720267463704221
20160307_144931_1281_721,29.38826366474557,29.710688352771708,29.1348545017608,28.124500856040502
20160307_144931_1921_721,28.427035122209514,27.986300928597274,27.53866330952054,26.38357000258773
20160307_144931_1_361,26.531474507624086,25.730919336438763,25.620711744681824,24.112261456279807
20160307_144931_1_721,12.946546608724107,12.034363878492293,12.91961190657175,12.493407897487034
20160307_144931_641_361,12.26926160218134,12.125911740393411,11.774245255719364,10.869853362204271
20160307_144931_641_721,12.522865966025684,11.655199521097225,12.010196420256419,11.974965641168826
20160307_145000_1281_361,25.50464544379625,26.040970662061742,25.4211488284852,24.48336002219008
20160307_145000_1921_361,7.600318426134765,7.675937666917274,9.04476287057921,9.120382111361717
20160307_145000_1921_721,29.652217054302,31.13975574339517,30.685885651993072,30.398402715134676
20160307_145000_1_721,40.95967714408656,42.16422530723947,42.116789498823884,42.189279998767084
20160307_145000_641_361,21.82443854763469,22.587594291497286,22.101377683007307,21.271984055087717
20160307_145000_641_721,4.602453375367215,4.628417365906385,5.269120042033881,5.067224014705444
20160307_145107_1281_361,21.857431383017573,21.64663306675874,23.236585999461003,23.00381701878731
20160307_145107_1281_721,26.491220416428828,27.36622399956021,27.743734035713175,27.446845149726023
20160307_145107_1921_1,49.77934141453516,53.68201994537925,54.77934141453515,57.628830193316304
20160307_145107_1921_1081,7.92425367769089,8.29144077359543,8.523698122135334,8.272666022850677
20160307_145107_1921_361,34.470566799551605,34.40390284301694,34.344984503542,33.72762345192448
20160307_145107_1921_721,24.701671422910053,22.363059714248728,24.030749196868957,23.981513728643144
20160307_145107_1_1,14.511861816635504,15.383689201944886,15.310195149968836,14.949810890593831
20160307_145107_1_361,3.924439118765598,4.022660275852051,4.611105785432264,4.709326942518717
20160307_145107_641_1081,40.49680880522485,40.84874545352783,40.85039387739335,41.17859464089328
20160307_145107_641_361,12.94615658667616,12.595978901256059,12.685778799932319,12.306214360877297
20160307_145107_641_721,40.257547496058784,41.30202421102658,40.457824456098365,39.403326395592345
